[2021-09-02 22:17:37,490] A: 026025, B: 026025_870001 | MSE | 8.86761331558 | PSNR | 38.65273614017963 | SSIM | 0.958010029095 | Delta_E | 0.660737859748
[2021-09-02 22:17:37,490] A: 026026, B: 026026_870001 | MSE | 24.0311839581 | PSNR | 34.3230519290284 | SSIM | 0.910029965943 | Delta_E | 0.912636615669
[2021-09-02 22:17:37,490] A: 026027, B: 026027_870001 | MSE | 8.88650862376 | PSNR | 38.64349194190122 | SSIM | 0.962139496637 | Delta_E | 0.655132846734
[2021-09-02 22:17:37,490] A: 026028, B: 026028_870001 | MSE | 1.26994490623 | PSNR | 47.092954804137165 | SSIM | 0.979904639217 | Delta_E | 0.507017231695
[2021-09-02 22:17:37,490] A: 026029, B: 026029_870001 | MSE | 1.41063578924 | PSNR | 46.63665462735843 | SSIM | 0.977951057429 | Delta_E | 0.537667683485
[2021-09-02 22:17:37,490] A: 026030, B: 026030_870001 | MSE | 22.5250504812 | PSNR | 34.60414587913153 | SSIM | 0.908417524487 | Delta_E | 0.860699678627
[2021-09-02 22:17:37,491] A: 026031, B: 026031_870001 | MSE | 1.48295203845 | PSNR | 46.41953255540549 | SSIM | 0.977012575066 | Delta_E | 0.547377758745
[2021-09-02 22:17:37,491] A: 026032, B: 026032_870001 | MSE | 1.50303093592 | PSNR | 46.361124413837985 | SSIM | 0.978685812018 | Delta_E | 0.531763382673
[2021-09-02 22:17:37,491] A: 026033, B: 026033_870001 | MSE | 1.53097224236 | PSNR | 46.28113044174343 | SSIM | 0.976138056968 | Delta_E | 0.550689366089
[2021-09-02 22:17:37,491] A: 026034, B: 026034_870001 | MSE | 3.03686682383 | PSNR | 43.306546137118985 | SSIM | 0.9713820271 | Delta_E | 0.490919543794
[2021-09-02 22:17:37,491] A: 026035, B: 026035_870001 | MSE | 1.81636071205 | PSNR | 45.5387826134291 | SSIM | 0.971835984987 | Delta_E | 0.576329196524
[2021-09-02 22:17:37,491] A: 026036, B: 026036_870001 | MSE | 5.83683816592 | PSNR | 40.46902708781446 | SSIM | 0.964787797372 | Delta_E | 0.615173606859
[2021-09-02 22:17:37,491] A: 026037, B: 026037_870001 | MSE | 5.5096282959 | PSNR | 40.71958060470835 | SSIM | 0.964527763219 | Delta_E | 0.600034028769
[2021-09-02 22:17:37,491] A: 026038, B: 026038_870001 | MSE | 1.40578532219 | PSNR | 46.65161356334208 | SSIM | 0.978063536048 | Delta_E | 0.535918693815
[2021-09-02 22:17:37,491] A: 026039, B: 026039_870001 | MSE | 6.76738842328 | PSNR | 39.826592567580704 | SSIM | 0.965140431282 | Delta_E | 0.634081176832
[2021-09-02 22:17:37,491] A: 026040, B: 026040_870001 | MSE | 22.2890556653 | PSNR | 34.64988692029766 | SSIM | 0.908726986553 | Delta_E | 0.884707249998
[2021-09-02 22:17:37,491] A: 026041, B: 026041_870001 | MSE | 5.92295138041 | PSNR | 40.405421931949796 | SSIM | 0.96211613569 | Delta_E | 0.599428538062
[2021-09-02 22:17:37,491] A: 026042, B: 026042_870001 | MSE | 1.29369258881 | PSNR | 47.01249270660482 | SSIM | 0.979677359193 | Delta_E | 0.524519866268
[2021-09-02 22:17:37,491] A: 026043, B: 026043_870001 | MSE | 1.38096849124 | PSNR | 46.728965912235914 | SSIM | 0.979060738736 | Delta_E | 0.532651902519
[2021-09-02 22:17:37,491] A: 026044, B: 026044_870001 | MSE | 1.43429946899 | PSNR | 46.56440523236783 | SSIM | 0.977674707037 | Delta_E | 0.540377931892
[2021-09-02 22:17:37,491] A: 026045, B: 026045_870001 | MSE | 4.43097138405 | PSNR | 41.66581415573373 | SSIM | 0.970335454453 | Delta_E | 0.591387886978
[2021-09-02 22:17:37,491] A: 026046, B: 026046_870001 | MSE | 13.2832989693 | PSNR | 36.89774413379374 | SSIM | 0.950034302272 | Delta_E | 0.769188236187
[2021-09-02 22:17:37,491] A: 026047, B: 026047_870001 | MSE | 27.1698264281 | PSNR | 33.78993496890988 | SSIM | 0.891839769888 | Delta_E | 0.937062456704
[2021-09-02 22:17:37,491] A: 026048, B: 026048_870001 | MSE | 1.46045271556 | PSNR | 46.485928602948114 | SSIM | 0.977252056789 | Delta_E | 0.541643130918
[2021-09-02 22:17:37,491] A: 026049, B: 026049_870001 | MSE | 3.64633258184 | PSNR | 42.512240827613226 | SSIM | 0.970266859074 | Delta_E | 0.589655917684
[2021-09-02 22:17:37,491] A: 026050, B: 026050_870001 | MSE | 1.27763104439 | PSNR | 47.066749049490355 | SSIM | 0.979841220528 | Delta_E | 0.516400367783
[2021-09-02 22:17:37,491] A: 026051, B: 026051_870001 | MSE | 2.97132698695 | PSNR | 43.401299134353934 | SSIM | 0.969131072346 | Delta_E | 0.581272430995
[2021-09-02 22:17:37,492] A: 026052, B: 026052_870001 | MSE | 11.5004508495 | PSNR | 37.52365494633746 | SSIM | 0.956422624165 | Delta_E | 0.726479984984
[2021-09-02 22:17:37,492] A: 026053, B: 026053_870001 | MSE | 4.06572874387 | PSNR | 42.03941960734542 | SSIM | 0.970165797604 | Delta_E | 0.584957534096
[2021-09-02 22:17:37,492] A: 026054, B: 026054_870001 | MSE | 1.81412196159 | PSNR | 45.54413879981425 | SSIM | 0.971873969004 | Delta_E | 0.571083482108
[2021-09-02 22:17:37,492] A: 026055, B: 026055_870001 | MSE | 14.6891783079 | PSNR | 36.460828582258436 | SSIM | 0.943485409588 | Delta_E | 0.748816644931
[2021-09-02 22:17:37,492] A: 026056, B: 026056_870001 | MSE | 6.86813004812 | PSNR | 39.76241850930508 | SSIM | 0.96278317972 | Delta_E | 0.658663631968
[2021-09-02 22:17:37,492] A: 026057, B: 026057_870001 | MSE | 8.74660849571 | PSNR | 38.71240673230959 | SSIM | 0.951126646794 | Delta_E | 0.617418701501
[2021-09-02 22:17:37,492] A: 026058, B: 026058_870001 | MSE | 16.1169497967 | PSNR | 36.05797507754637 | SSIM | 0.93896348303 | Delta_E | 0.790310512812
[2021-09-02 22:17:37,492] A: 026059, B: 026059_870001 | MSE | 9.28763405482 | PSNR | 38.451752655826354 | SSIM | 0.956357238814 | Delta_E | 0.662230924189
[2021-09-02 22:17:37,492] A: 026060, B: 026060_870001 | MSE | 3.65482680003 | PSNR | 42.50213560032083 | SSIM | 0.969264209977 | Delta_E | 0.579405093314
[2021-09-02 22:17:37,492] A: 026061, B: 026061_870001 | MSE | 1.35805853208 | PSNR | 46.801618725057985 | SSIM | 0.978553579501 | Delta_E | 0.512334337563
[2021-09-02 22:17:37,492] A: 026062, B: 026062_870001 | MSE | 1.43202972412 | PSNR | 46.57128328309624 | SSIM | 0.97764923542 | Delta_E | 0.534846333853
[2021-09-02 22:17:37,492] A: 026063, B: 026063_870001 | MSE | 18.8555144469 | PSNR | 35.37641974834331 | SSIM | 0.919889145073 | Delta_E | 0.818637601033
[2021-09-02 22:17:37,492] A: 026064, B: 026064_870001 | MSE | 1.24026703835 | PSNR | 47.19565158936319 | SSIM | 0.980388300796 | Delta_E | 0.509591491834
[2021-09-02 22:17:37,492] A: 026065, B: 026065_870001 | MSE | 1.28868333499 | PSNR | 47.029341485289336 | SSIM | 0.97961660595 | Delta_E | 0.508843129706
[2021-09-02 22:17:37,492] A: 026066, B: 026066_870001 | MSE | 1.2046991984 | PSNR | 47.322017395012935 | SSIM | 0.980946890424 | Delta_E | 0.505832106939
[2021-09-02 22:17:37,492] A: 026067, B: 026067_870001 | MSE | 3.65166099866 | PSNR | 42.5058990778987 | SSIM | 0.967391875598 | Delta_E | 0.583829504391
[2021-09-02 22:17:37,492] A: 026068, B: 026068_870001 | MSE | 1.83922759692 | PSNR | 45.48444886132345 | SSIM | 0.97152177307 | Delta_E | 0.570962363264
[2021-09-02 22:17:37,492] A: 026069, B: 026069_870001 | MSE | 1.79898738861 | PSNR | 45.5805224203371 | SSIM | 0.972021702915 | Delta_E | 0.558150521247
[2021-09-02 22:17:37,492] A: 026070, B: 026070_870001 | MSE | 8.74555389086 | PSNR | 38.71293040577729 | SSIM | 0.950037367935 | Delta_E | 0.580799777922
[2021-09-02 22:17:37,492] A: 026071, B: 026071_870001 | MSE | 2.30604553223 | PSNR | 44.50212482801024 | SSIM | 0.970339529445 | Delta_E | 0.572168104933
[2021-09-02 22:17:37,492] A: 026072, B: 026072_870001 | MSE | 1.75773191452 | PSNR | 45.68127722736957 | SSIM | 0.97268765197 | Delta_E | 0.584041927564
