[2021-09-02 17:51:20,004] A: 020031_002, B: 020031_002_1 | MSE | 10.1916691462 | PSNR | 38.04835044218793 | SSMI | 0.97630913092 | Delta_E | 0.690493884368
[2021-09-02 17:51:21,308] A: 020031_003, B: 020031_003_1 | MSE | 11.9647604624 | PSNR | 37.351763525177475 | SSMI | 0.970392566255 | Delta_E | 0.797003473915
[2021-09-02 17:51:22,613] A: 020031_004, B: 020031_004_1 | MSE | 9.05813916524 | PSNR | 38.560413721614424 | SSMI | 0.977887308867 | Delta_E | 0.674177350736
[2021-09-02 17:51:23,914] A: 020032_001, B: 020032_001_1 | MSE | 4.82154305776 | PSNR | 41.298943113791054 | SSMI | 0.981685618657 | Delta_E | 0.369867225107
[2021-09-02 17:51:25,220] A: 020032_002, B: 020032_002_1 | MSE | 4.17769749959 | PSNR | 41.92143370655329 | SSMI | 0.983034112468 | Delta_E | 0.34215873332
[2021-09-02 17:51:26,527] A: 020032_003, B: 020032_003_1 | MSE | 4.44979222616 | PSNR | 41.64740627896134 | SSMI | 0.981935831069 | Delta_E | 0.357374188718
[2021-09-02 17:51:27,835] A: 020032_004, B: 020032_004_1 | MSE | 3.991938591 | PSNR | 42.118965090625686 | SSMI | 0.984368003606 | Delta_E | 0.356254429889
[2021-09-02 17:51:29,147] A: 020033_001, B: 020033_001_1 | MSE | 3.45432917277 | PSNR | 42.747166405183364 | SSMI | 0.982744375248 | Delta_E | 0.321082637709
[2021-09-02 17:51:30,453] A: 020033_002, B: 020033_002_1 | MSE | 2.19787057241 | PSNR | 44.710782466403074 | SSMI | 0.987789358715 | Delta_E | 0.243830789879
[2021-09-02 17:51:31,761] A: 020033_003, B: 020033_003_1 | MSE | 4.16659673055 | PSNR | 41.93298892129373 | SSMI | 0.981911316697 | Delta_E | 0.372199262158
[2021-09-02 17:51:33,074] A: 020033_004, B: 020033_004_1 | MSE | 2.41100915273 | PSNR | 44.30881501808283 | SSMI | 0.988200648275 | Delta_E | 0.26523582048
[2021-09-02 17:51:34,384] A: 020034_001, B: 020034_001_1 | MSE | 7.57348632813 | PSNR | 39.337845151169056 | SSMI | 0.975284092099 | Delta_E | 0.5459702375
[2021-09-02 17:51:35,702] A: 020034_002, B: 020034_002_1 | MSE | 6.06725215912 | PSNR | 40.30088315975276 | SSMI | 0.980217340976 | Delta_E | 0.49980161316
[2021-09-02 17:51:37,022] A: 020034_003, B: 020034_003_1 | MSE | 4.73979314168 | PSNR | 41.373209726507845 | SSMI | 0.981133165381 | Delta_E | 0.380797494608
[2021-09-02 17:51:38,336] A: 020034_004, B: 020034_004_1 | MSE | 3.37317498525 | PSNR | 42.85041489836657 | SSMI | 0.986702230196 | Delta_E | 0.307164036529
[2021-09-02 17:51:39,647] A: 020035_001, B: 020035_001_1 | MSE | 8.01408259074 | PSNR | 39.09226547039092 | SSMI | 0.974369090038 | Delta_E | 0.579783465493
[2021-09-02 17:51:40,951] A: 020035_002, B: 020035_002_1 | MSE | 3.70087814331 | PSNR | 42.447755753024026 | SSMI | 0.984419162215 | Delta_E | 0.335492674741
[2021-09-02 17:51:42,262] A: 020035_003, B: 020035_003_1 | MSE | 6.97531604767 | PSNR | 39.69516470836419 | SSMI | 0.976553150988 | Delta_E | 0.544471962291
[2021-09-02 17:51:43,570] A: 020035_004, B: 020035_004_1 | MSE | 5.5873559316 | PSNR | 40.65874022744527 | SSMI | 0.982797727544 | Delta_E | 0.485443139226
[2021-09-02 17:51:44,884] A: 020036_001, B: 020036_001_1 | MSE | 5.07672341665 | PSNR | 41.07496857478334 | SSMI | 0.97792931839 | Delta_E | 0.455383586339
[2021-09-02 17:51:46,198] A: 020036_002, B: 020036_002_1 | MSE | 4.56075763702 | PSNR | 41.54043366833463 | SSMI | 0.982009770073 | Delta_E | 0.474733304478
[2021-09-02 17:51:47,511] A: 020036_003, B: 020036_003_1 | MSE | 7.52762540181 | PSNR | 39.36422361762815 | SSMI | 0.976027342986 | Delta_E | 0.623229198893
[2021-09-02 17:51:48,823] A: 020036_004, B: 020036_004_1 | MSE | 2.19782416026 | PSNR | 44.710874176778304 | SSMI | 0.987634880504 | Delta_E | 0.27956907916
[2021-09-02 17:51:50,138] A: 020037_001, B: 020037_001_1 | MSE | 10.976785024 | PSNR | 37.72605202063997 | SSMI | 0.955488135674 | Delta_E | 0.612455929017
[2021-09-02 17:51:51,451] A: 020037_002, B: 020037_002_1 | MSE | 5.02832253774 | PSNR | 41.11657233487228 | SSMI | 0.974547473584 | Delta_E | 0.396567012784
[2021-09-02 17:51:52,763] A: 020037_003, B: 020037_003_1 | MSE | 8.59850947062 | PSNR | 38.78657186925183 | SSMI | 0.958832254171 | Delta_E | 0.487799435204
[2021-09-02 17:51:54,072] A: 020037_004, B: 020037_004_1 | MSE | 2.55262374878 | PSNR | 44.060935554138574 | SSMI | 0.982097414892 | Delta_E | 0.259444802194
[2021-09-02 17:51:55,380] A: 020038_001, B: 020038_001_1 | MSE | 3.17772102356 | PSNR | 43.10964593624874 | SSMI | 0.9860297823 | Delta_E | 0.306073411822
[2021-09-02 17:51:56,689] A: 020038_002, B: 020038_002_1 | MSE | 5.11034838359 | PSNR | 41.0462985292274 | SSMI | 0.98395434937 | Delta_E | 0.438116785172
[2021-09-02 17:51:57,996] A: 020038_003, B: 020038_003_1 | MSE | 2.77908802032 | PSNR | 43.69178058733955 | SSMI | 0.987186285202 | Delta_E | 0.277763115379
[2021-09-02 17:51:59,303] A: 020038_004, B: 020038_004_1 | MSE | 3.89197381337 | PSNR | 42.2291045135409 | SSMI | 0.987019255579 | Delta_E | 0.363931107102
[2021-09-02 17:52:00,614] A: 020039_001, B: 020039_001_1 | MSE | 8.15587838491 | PSNR | 39.01609619627077 | SSMI | 0.966199163211 | Delta_E | 0.528120356931
